"",""
"Action","Action"
"Add Article","Add Article"
"Add Category","Add Category"
"Add Child Category","Add Child Category"
"Add New Article Attribute","Add New Article Attribute"
"Add Root Category","Add Root Category"
"Add Tag","Add Tag"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while trying to delete the category.","An error occurred while trying to delete the category."
"An error occurred while updating the articles.","An error occurred while updating the articles."
"An error occurred while updating the categories.","An error occurred while updating the categories."
"An error occurred while updating the tags.","An error occurred while updating the tags."
"Approved","Approved"
"Are you sure?","Are you sure?"
"Article Comment","Article Comment"
"Article Comments","Article Comments"
"Article Information","Article Information"
"Article comment","Article comment"
"Article was saved","Article was saved"
"Article was successfully deleted.","Article was successfully deleted."
"Article was successfully saved","Article was successfully saved"
"Article","Article"
"Articles","Articles"
"Assign category to article","Assign category to article"
"Assign tag to article","Assign tag to article"
"Associated products","Associated products"
"Attribute ""%s"" is required.","Attribute ""%s"" is required."
"Attribute Information","Attribute Information"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Attributes","Attributes"
"Average Rating","Average Rating"
"CSV","CSV"
"Can't delete root category.","Can't delete root category."
"Categories","Categories"
"Category does not exist.","Category does not exist."
"Category move error","Category move error"
"Category move operation is not possible: parent category is equal to child category.","Category move operation is not possible: parent category is equal to child category."
"Category move operation is not possible: the current category was not found.","Category move operation is not possible: the current category was not found."
"Category move operation is not possible: the new parent category was not found.","Category move operation is not possible: the new parent category was not found."
"Category subtree widget","Category subtree widget"
"Category subtree","Category subtree"
"Category was saved","Category was saved"
"Category was successfully deleted.","Category was successfully deleted."
"Category was successfully saved","Category was successfully saved"
"Category","Category"
"Change status","Change status"
"Collapse All","Collapse All"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Content","Content"
"Could not find article to delete.","Could not find article to delete."
"Could not find category to delete.","Could not find category to delete."
"Could not find comment to delete.","Could not find comment to delete."
"Could not find tag to delete.","Could not find tag to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Default Values","Default Values"
"Delete Article Attribute","Delete Article Attribute"
"Delete Article comment","Delete Article comment"
"Delete Article","Delete Article"
"Delete Category","Delete Category"
"Delete File","Delete File"
"Delete Tag","Delete Tag"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Display as tree","Display as tree"
"Edit Article '%s'","Edit Article '%s'"
"Edit Article Attribute ""%s""","Edit Article Attribute ""%s"""
"Edit Article Attribute","Edit Article Attribute"
"Edit Article comment '%s'","Edit Article comment '%s'"
"Edit Category '%s'","Edit Category '%s'"
"Edit Tag '%s'","Edit Tag '%s'"
"Edit","Edit"
"Enable WYSIWYG","Enable WYSIWYG"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving article","Error saving article"
"Error saving category","Error saving category"
"Error saving tag","Error saving tag"
"Excel","Excel"
"Expand All","Expand All"
"File","File"
"Frontend Properties","Frontend Properties"
"Global","Global"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"ID: %s","ID: %s"
"Id","Id"
"Image","Image"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Levels to show (0 for all)","Levels to show (0 for all)"
"Manage Article Attributes","Manage Article Attributes"
"Manage Attributes","Manage Attributes"
"Manage Categories","Manage Categories"
"Manage Label / Options","Manage Label / Options"
"Meta description for articles list page","Meta description for articles list page"
"Meta description for categories list page","Meta description for categories list page"
"Meta description for tags list page","Meta description for tags list page"
"Meta information","Meta information"
"Meta keywords for articles list page","Meta keywords for articles list page"
"Meta keywords for categories list page","Meta keywords for categories list page"
"Meta keywords for tags list page","Meta keywords for tags list page"
"Meta title for articles list page","Meta title for articles list page"
"Meta title for categories list page","Meta title for categories list page"
"Meta title for tags list page","Meta title for tags list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Article Comments","My Article Comments"
"My Articles comment view","My Articles comment view"
"Name","Name"
"New Article Attribute","New Article Attribute"
"New Category","New Category"
"New Root Category","New Root Category"
"No","No"
"None","None"
"Note","Note"
"Number of votes","Number of votes"
"On %s you wrote:","On %s you wrote:"
"Pending","Pending"
"Please select articles to delete.","Please select articles to delete."
"Please select articles.","Please select articles."
"Please select categories to delete.","Please select categories to delete."
"Please select categories.","Please select categories."
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select tags to delete.","Please select tags to delete."
"Please select tags.","Please select tags."
"Position in the admin form","Position in the admin form"
"Position","Position"
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Properties","Properties"
"Recursion level","Recursion level"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Remove category from article","Remove category from article"
"Remove tag from article","Remove tag from article"
"Reset","Reset"
"Root","Root"
"Save And Continue Edit","Save And Continue Edit"
"Save Article Attribute","Save Article Attribute"
"Save Article comment","Save Article comment"
"Save Article","Save Article"
"Save Category","Save Category"
"Save Tag","Save Tag"
"Scope","Scope"
"Select Category","Select Category"
"Show in rss","Show in rss"
"Status","Status"
"Store View","Store View"
"Store views","Store views"
"Tag does not exist.","Tag does not exist."
"Tag was saved","Tag was saved"
"Tag was successfully deleted.","Tag was successfully deleted."
"Tag was successfully saved","Tag was successfully saved"
"Tag","Tag"
"Tags","Tags"
"Text to appear below the input.","Text to appear below the input."
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The article attribute has been deleted.","The article attribute has been deleted."
"The article attribute has been saved.","The article attribute has been saved."
"The articles has been deleted.","The articles has been deleted."
"The categories has been deleted.","The categories has been deleted."
"The category has been saved.","The category has been saved."
"The tags has been deleted.","The tags has been deleted."
"There was a problem saving the article.","There was a problem saving the article."
"There was a problem saving the category.","There was a problem saving the category."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the tag.","There was a problem saving the tag."
"There was an error deleting article.","There was an error deleting article."
"There was an error deleting articles.","There was an error deleting articles."
"There was an error deleting categories.","There was an error deleting categories."
"There was an error deleting category.","There was an error deleting category."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting tag.","There was an error deleting tag."
"There was an error deleting tags.","There was an error deleting tags."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating articles.","There was an error updating articles."
"There was an error updating categories.","There was an error updating categories."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating tags.","There was an error updating tags."
"This article attribute cannot be edited.","This article attribute cannot be edited."
"This article attribute no longer exists","This article attribute no longer exists"
"This article does not allow comments","This article does not allow comments"
"This article no longer exists.","This article no longer exists."
"This attribute cannot be deleted.","This attribute cannot be deleted."
"This attribute cannot be updated.","This attribute cannot be updated."
"This attribute is not deletable","This attribute is not deletable"
"This attribute no longer exists","This attribute no longer exists"
"This category no longer exists.","This category no longer exists."
"This comment no longer exists.","This comment no longer exists."
"This tag no longer exists.","This tag no longer exists."
"Title","Title"
"Total Votes","Total Votes"
"Total of %d articles were successfully deleted.","Total of %d articles were successfully deleted."
"Total of %d articles were successfully updated.","Total of %d articles were successfully updated."
"Total of %d categories were successfully deleted.","Total of %d categories were successfully deleted."
"Total of %d categories were successfully updated.","Total of %d categories were successfully updated."
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d tags were successfully deleted.","Total of %d tags were successfully deleted."
"Total of %d tags were successfully updated.","Total of %d tags were successfully updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to find article to save.","Unable to find article to save."
"Unable to find category to save.","Unable to find category to save."
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find tag to save.","Unable to find tag to save."
"Unable to post the comment.","Unable to post the comment."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"You have submitted no comments for articles.","You have submitted no comments for articles."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"